episode,score,max_reward,max_tile
552,560,16.494281482696532,64
553,1496,18.454843187332152,128
554,1024,20.10876598358154,128
555,840,18.079288816452028,64
556,564,17.815430331230164,64
557,496,16.956585240364074,64
558,1688,19.620182037353516,128
559,548,17.47843563556671,64
560,888,17.160576272010804,64
561,832,19.363306188583373,128
562,2236,21.612413477897643,256
563,1592,18.713006567955016,128
564,524,19.628308653831482,64
565,1836,19.07204282283783,256
566,1636,17.328346681594848,128
567,1696,18.246833515167236,128
568,528,17.95113823413849,64
569,1168,17.766949319839476,128
570,588,19.06868290901184,64
571,1344,18.424823760986328,128
572,1208,17.77034721374512,128
573,1168,21.549076199531555,128
574,1312,20.18179636001587,128
575,1948,21.166687989234923,256
576,1276,18.42832179069519,128
577,556,17.798218536376954,64
578,836,18.61643898487091,64
579,2044,20.00500683784485,256
580,1176,18.484673976898193,128
581,1204,19.327851343154908,128
582,600,15.978483080863953,64
583,248,14.680108880996704,32
584,672,18.52737250328064,64
585,1400,17.393439960479736,128
586,1116,18.40078227519989,128
587,292,15.898290824890136,32
588,2056,20.88178210258484,256
589,1232,19.564912176132204,128
590,608,18.544969511032104,64
591,1096,19.273153018951415,128
592,728,16.77098491191864,64
593,460,18.5724280834198,64
594,524,16.027998065948488,64
595,1000,19.969156908988953,128
596,1088,19.952162766456603,128
597,1068,18.115827679634094,128
598,912,18.621560645103454,64
599,596,18.015958857536315,64
600,652,17.34274537563324,64
601,700,18.360727405548097,64
602,608,18.655398654937745,64
603,1388,19.479589986801148,128
604,1204,19.20393455028534,128
605,444,17.402265882492067,64
606,1284,20.563551831245423,128
607,708,17.603670024871825,64
608,140,15.848339056968689,16
609,1756,19.81161994934082,256
610,1204,19.19998166561127,128
611,896,18.662832736968994,128
612,556,19.52070026397705,64
613,476,17.434922838211058,64
614,604,19.295607447624207,64
615,360,17.671787285804747,32
616,916,17.97398974895477,128
617,428,17.953778076171876,64
618,2140,21.424168372154234,256
619,584,17.300887298583984,64
620,464,18.253346991539,64
621,1128,21.047664332389832,128
622,756,17.51086778640747,64
623,780,19.470907711982726,64
624,2064,20.808929538726808,256
625,840,19.331777930259705,128
626,868,19.89814429283142,128
627,228,17.507718801498413,32
628,972,18.31604459285736,128
629,676,18.78975830078125,64
630,876,20.92440061569214,128
631,160,15.508852696418762,16
632,944,19.35224323272705,128
633,2044,22.065411925315857,256
634,500,17.45797555446625,64
635,860,18.472400999069215,64
636,1180,20.258993434906007,128
637,672,20.743533277511595,64
638,1108,17.836588048934935,128
639,1172,18.6894091129303,128
640,480,16.556196331977844,64
641,784,19.387082743644715,64
642,504,18.816037011146545,64
643,1180,19.34456353187561,128
644,492,19.92790503501892,64
645,908,19.12641234397888,128
646,840,19.878001165390014,128
647,1072,20.59832100868225,128
648,544,20.848640656471254,64
649,940,19.381571173667908,128
650,392,19.249634051322936,64
651,1220,18.056472539901733,128
652,672,18.65122354030609,64
653,464,19.492136979103087,64
654,996,20.398916673660278,128
655,1752,21.457554507255555,256
656,1084,18.981354594230652,128
657,1152,19.278288149833678,128
658,1140,17.75203697681427,128
659,1540,20.390283870697022,128
660,708,18.60138695240021,64
661,2048,23.392725110054016,256
662,196,15.287027168273926,32
663,244,17.44225368499756,32
664,544,19.572634863853455,64
665,556,18.68754711151123,64
666,1368,19.525827050209045,128
667,1272,19.744393515586854,128
668,976,18.3713680267334,128
669,292,17.509174728393553,32
670,1196,21.058904552459715,128
671,1364,22.20457410812378,128
672,208,17.00897362232208,32
673,568,17.8391695022583,64
674,1244,19.818330764770508,128
675,992,21.492437338829042,128
676,1384,20.52756781578064,128
677,1292,19.348091745376585,128
678,1068,20.685770440101624,128
679,1244,20.26286735534668,128
680,1056,18.941441297531128,128
681,1080,20.610413789749146,128
682,1336,18.830002236366273,128
683,1324,18.472759795188903,128
684,4796,24.427547216415405,512
685,1832,22.11986439228058,256
686,260,17.095859980583192,32
687,756,18.776853108406065,64
688,1340,19.606248378753662,128
689,2080,21.60078685283661,256
690,972,20.267344450950624,128
691,508,20.28611550331116,64
692,624,19.881804370880126,64
693,1276,20.01483020782471,128
694,1940,22.744252395629882,256
695,984,19.51437964439392,128
696,424,22.507387924194337,64
697,1572,21.640364003181457,128
698,1068,18.513334560394288,64
699,648,19.332630372047426,64
700,484,19.775333070755003,64
701,1524,20.722539258003234,128
702,1448,21.584345674514772,128
703,1264,20.420884799957275,128
704,360,17.388145685195923,32
705,804,18.82205810546875,64
706,1064,22.230297756195068,128
707,532,17.51598596572876,64
708,1052,21.046346807479857,128
709,528,19.551384687423706,64
710,1020,20.77872724533081,128
711,476,17.422716522216795,64
712,1984,22.249075412750244,256
713,2140,24.3550302028656,256
714,584,20.00296530723572,64
715,700,20.831005668640138,64
716,960,19.941462898254393,128
717,1056,21.318162631988525,128
718,648,21.96623206138611,64
719,584,19.582563829421996,64
720,532,18.460217094421388,64
721,1104,21.26086049079895,64
722,1896,19.40880079269409,128
723,116,17.904716444015502,16
724,436,17.21084942817688,32
725,1316,20.373703837394714,128
726,1000,20.881185054779053,128
727,560,17.519083166122435,64
728,1236,19.463904428482056,128
729,500,19.09834294319153,64
730,1012,19.550257921218872,128
731,1568,20.858735847473145,128
732,1316,22.360644149780274,128
733,1020,20.272200059890746,128
734,460,19.047912502288817,64
735,1268,21.691874980926514,128
736,596,18.87070996761322,64
737,1500,21.859598779678343,128
738,592,22.2406964302063,64
739,1184,21.370667505264283,128
740,860,18.6613068819046,64
741,1036,20.73091139793396,128
742,476,19.098823261260986,64
743,2248,20.464376544952394,256
744,1212,19.62847766876221,128
745,1288,20.7040696144104,128
746,780,21.288069581985475,64
747,1136,22.246863961219788,128
748,552,22.35553550720215,64
749,1292,21.086986565589903,128
750,1012,20.97771301269531,128
751,640,20.29932532310486,64
752,220,17.5907422542572,32
753,584,18.225994920730592,64
754,632,18.81783275604248,64
755,1288,19.257955527305604,128
756,2016,22.033518743515014,256
757,304,18.195124101638793,32
758,408,19.49326357841492,64
759,1176,19.95618164539337,128
760,1356,21.26476936340332,128
761,520,20.858255243301393,64
762,396,18.552123928070067,64
763,556,18.098532009124757,64
764,1964,24.90303430557251,256
765,1040,23.129709243774414,128
766,752,20.586616468429565,64
767,596,20.48048996925354,64
768,592,19.781142139434813,64
769,560,20.771409130096437,64
770,648,19.52584934234619,64
771,388,22.38525524139404,64
772,1372,20.844772338867188,128
773,604,20.19233593940735,64
774,1132,22.76091513633728,128
775,204,20.064268779754638,32
776,632,22.110055351257323,64
777,604,22.119824409484863,64
778,952,21.054108905792237,128
779,888,18.51711196899414,64
780,672,19.350091695785522,64
781,1112,18.794828176498413,128
782,224,17.035171937942504,32
783,592,19.983488273620605,64
784,1956,22.312146043777467,256
785,952,21.94514775276184,128
786,536,21.33928813934326,64
787,244,18.661105728149415,32
788,764,20.519942212104798,64
789,868,21.676789903640746,128
790,1132,20.546364307403564,128
791,896,20.42341814041138,128
792,556,20.59071373939514,64
793,844,22.09184341430664,64
794,1100,21.784265661239623,128
795,1228,20.36158332824707,128
796,924,22.489933347702028,128
797,276,19.800287818908693,32
798,1076,21.4556667804718,128
799,1008,22.52761607170105,128
800,536,23.158912467956544,64
801,1200,21.65668568611145,128
802,2224,22.788064527511597,256
803,2136,25.775406551361083,256
804,492,19.090490412712096,64
805,1404,21.75636467933655,128
806,900,18.902187991142274,64
807,1208,21.16505970954895,128
808,616,18.244989442825318,64
809,1976,24.095565938949584,256
810,1300,22.221428632736206,128
811,380,19.255592012405394,64
812,1144,23.535379648208618,128
813,1224,21.23541569709778,128
814,1112,20.30052833557129,128
815,1148,18.844310069084166,128
816,616,20.181192016601564,64
817,760,20.489714431762696,64
818,944,20.938647651672362,128
819,480,21.56281499862671,64
820,756,19.028255128860472,64
821,684,18.349202513694763,64
822,1144,19.638492345809937,64
823,588,18.936763572692872,64
824,496,19.959784507751465,64
825,880,21.952010822296142,64
826,596,20.42843942642212,64
